Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Loxton/Paringa orchards,SA,SELECT HARVESTS,selectharvests.com.au,Select Harvests,https://selectharvests.com.au/documents/SHV_Annual-Report-2019.pdf,,,,,,,,
Curtin Springs Station,NT,SEVERIN FAMILY,Na,Severin Family,https://www.curtinsprings.com/our-history/,https://www.weeklytimesnow.com.au/agribusiness/cattle/diversity-a-central-role-for-the-severin-family-of-curtin-springs-station-in-the-northern-territory/news-story/a7e56efc62b2a2e07fe75868f5b45ef9,,,,,,,
Anchorage,,,,Ruyi Group,https://cubbie.com.au/ruyi-australia-group/,,,,,,,,
Aspen,QLD,SHANDONG RUYI,Na,Ruyi Group,https://cubbie.com.au/ruyi-australia-group/,,,,,,,,
Larundel Estate,VIC,SHANDONG RUYI,Na,Ruyi Group,https://cubbie.com.au/ruyi-australia-group/,,,,,,,,
Jeedamya,WA,SHANGHAI ZENITH,Na,,https://www.abc.net.au/news/rural/2016-10-11/wa-pastoral-sale-to-shanghai-cred-chinese-approved/7918598,,,,,,,,
Marvel Loch,WA,SHANGHAI ZENITH,Na,,https://www.abc.net.au/news/rural/2016-10-11/wa-pastoral-sale-to-shanghai-cred-chinese-approved/7918598,,,,,,,,
Mertondale Station,WA,SHANGHAI ZENITH,Na,,Department of Defense? in 2020,https://www.abc.net.au/news/2020-06-11/jindalee-operational-radar-land-purchase/12341994,,,,,,,
Mt Elizabeth Station,WA,SHANGHAI ZENITH,Na,,https://www.abc.net.au/news/rural/2016-10-11/wa-pastoral-sale-to-shanghai-cred-chinese-approved/7918598,,,,,,,,
Perrinvale Station,WA,SHANGHAI ZENITH,Na,,https://thewest.com.au/news/kimberley/chinese-company-set-to-become-was-biggest-landholder-after-farm-deal-ng-ya-104452,,,,,,,,
Riverina Station,WA,SHANGHAI ZENITH,Na,,https://thewest.com.au/news/kimberley/chinese-company-set-to-become-was-biggest-landholder-after-farm-deal-ng-ya-104452,,,,,,,,
Yakka Munga,WA,SHANGHAI ZENITH,Na,,https://www.abc.net.au/news/rural/2016-10-11/wa-pastoral-sale-to-shanghai-cred-chinese-approved/7918598,,,,,,,,
Carlton Hill Station,WA,SHANGHAI ZHONGFU,Na,,https://www.abc.net.au/news/rural/2016-08-03/carlton-hill-sells-to-chinese-interests/7685622,,,,,,,,
Ord Stage 2 project,WA,SHANGHAI ZHONGFU,Na,,https://www.agric.wa.gov.au/resource-assessment/ord-river-irrigation-expansion-goomig-farmlands,Kimberley Agricultural Investments (their subsidiary),,,,,,,
Broadmere,NT,PETER SHERWIN,Na,,DEAD?,https://www.abc.net.au/news/rural/2019-07-31/peter-sherwin-dies-a-giant-of-the-cattle-industry/11369128,,,,,,,
Avon Downs,QLD,SIMMONS CATTLE COMPANY,Na,,THIS SEEMS TO BE A DUPLICATE OF AACO? https://aaco.com.au/operations/properties,,,,,,,,
Bungobine,QLD,SIMMONS CATTLE COMPANY,,,https://www.queenslandcountrylife.com.au/story/6401235/simmons-new-country-buy-up/,,,,,,,,
Whynot,QLD,SIMMONS CATTLE COMPANY,Na,,,,,,,,,,
Eildon Park,QLD,CHRIS SKELTON,Na,,https://www.beefcentral.com/property/weekly-property-review-recently-completed-sales-7/,,,,,,,,
Tieyon Station,SA,PAUL & JO SMITH,Na,,https://www.stockjournal.com.au/story/6260700/tieyon-overcomes-challenging-conditions-with-hardy-angus-herd/,Tieyon Pastoral Company,,,,,,,
Augustus,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Donors Hill,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Fort Constantine,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Glenore,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Kamilaroi,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
McAllister,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Miranda,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Warren Vale,QLD,STANBROKE PASTORAL,Na,Stanbroke,https://www.stanbroke.com/the-stanbroke-story/,,,,,,,,
Balquhidder Station,SA,KERRY STOKES,Na,,https://www.adelaidenow.com.au/news/south-australia/billionaire-kerry-stokes-grabs-12km-of-south-australian-coast-on-undervalued-fleurieu-peninsula/news-story/53c1869512b986149a59c61a4fcf48b6,Australian Capital Equity,,,,,,,
Mt House Station,WA,KERRY STOKES,Na,,https://www.abc.net.au/news/rural/2016-08-26/kerry-stokes-buying-bulls-for-newly-purchased-mt-house-station/7780786,Australian Capital Equity,,,,,,,
Mt Scrub,SA,KERRY STOKES,Na,,https://www.adelaidenow.com.au/news/south-australia/billionaire-kerry-stokes-grabs-12km-of-south-australian-coast-on-undervalued-fleurieu-peninsula/news-story/53c1869512b986149a59c61a4fcf48b6,Australian Capital Equity,,,,,,,
Napier Downs Station,WA,KERRY STOKES,Na,,https://www.abc.net.au/news/rural/2016-08-26/kerry-stokes-buying-bulls-for-newly-purchased-mt-house-station/7780786,Australian Capital Equity,,,,,,,
Alfreda,NSW,STONE AXE PASTORAL COMPANY,stoneaxepastoral.com.au,Rural Funds,https://ruralfunds.com.au/rural-funds-group/fund-information/lessees/cattle-assets/,,,,,,,,
Cobungra Station,VIC,STONE AXE PASTORAL COMPANY,stoneaxepastoral.com.au,Rural Funds,https://ruralfunds.com.au/rural-funds-group/fund-information/lessees/cattle-assets/,,,,,,,,
Glen Alvie aggregation,NSW,STONE AXE PASTORAL COMPANY,stoneaxepastoral.com.au,Rural Funds,https://ruralfunds.com.au/rural-funds-group/fund-information/lessees/cattle-assets/,,,,,,,,
Keytah,NSW,SUNDOWN PASTORAL COMPANY,sundownpastoral.com.au,,https://www.sundownpastoral.com.au/,,,,,,,,
St Ronans,QLD,SUNDOWN PASTORAL COMPANY,sundownpastoral.com.au,,https://www.sundownpastoral.com.au/,,,,,,,,
Wathagar,NSW,SUNDOWN PASTORAL COMPANY,sundownpastoral.com.au,,https://www.sundownpastoral.com.au/,,,,,,,,
Drysdale River Station,WA,SUNLIGHT HOLDINGS,Na,,https://walga.asn.au/getattachment/Procurement/Sustainable-Procurement/Road-Building-Contractors-Materials-Related-Services.pdf?lang=en-AU,,,,,,,,
Glenstrae,SA,SWISS AUSTRALIA FARM HOLDINGS,Na,Swiss Australian Farm Holding,https://www.safh.com.au/,,,,,,,,
Naweena,SA,SWISS AUSTRALIA FARM HOLDINGS,Na,Swiss Australian Farm Holding,https://www.safh.com.au/,,,,,,,,
Netley Station,NSW,SWISS AUSTRALIA FARM HOLDINGS,Na,Swiss Australian Farm Holding,https://www.safh.com.au/,,,,,,,,
Neumayer Valley Station,QLD,SWISS AUSTRALIA FARM HOLDINGS,Na,Swiss Australian Farm Holding,https://www.safh.com.au/,,,,,,,,
Balfour Downs,WA,TBG AGRI HOLDINGS,Na,,https://www.abc.net.au/news/rural/2015-07-16/chinese-billionaire-xingfa-ma-buys-nt-wollogorang-station/6623806,TBG Agri Holding,,,,,,,
Emu Downs Station,WA,TBG AGRI HOLDINGS,Na,,https://www.abc.net.au/news/rural/2015-07-16/chinese-billionaire-xingfa-ma-buys-nt-wollogorang-station/6623806,TBG Agri Holding,,,,,,,
Ferngrove Wine Group,WA,TBG AGRI HOLDINGS,Na,,https://www.abc.net.au/news/rural/2015-07-16/chinese-billionaire-xingfa-ma-buys-nt-wollogorang-station/6623806,TBG Agri Holding,,,,,,,
Wananya Station,WA,TBG AGRI HOLDINGS,Na,,https://www.abc.net.au/news/rural/2015-07-16/chinese-billionaire-xingfa-ma-buys-nt-wollogorang-station/6623806,TBG Agri Holding,,,,,,,
Evelyn Downs,SA,CAROLINE THOMAS & JOHN KNIGHT,Na,,https://www.abc.net.au/news/rural/2019-03-23/former-medical-professionals-find-tree-change-on-desert-station/10882468,,,,,,,,
Bellat,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Blackville,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Boggabilla,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Boggabri,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Breeza,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Burren Junction,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Cecil Plains,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Coleambally,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Collie,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Condamine,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Condingup,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Condobolin,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Corrigan,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Cressy,VIC,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Culcairn,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Dalby ,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Darling Downs,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Darlington Point,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Darlington,VIC,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Derrinallum,VIC,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Dowerin,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Galore,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Garah,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Gnowangerup,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Goondiwindi,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Grass Patch,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Grong Grong,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Gunnedah NSW – 841 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Gunnedah NSW – 1954 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Gunnedah NSW – 1809 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Hay NSW – 8245 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Henty NSW – 479 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Henty NSW – 249 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Jondaryan QLD – 4034 hectares.,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Lake King WA – 8388 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Lismore VIC – 2781 hectares.Moree NSW – 8867 hectares.,VIC,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 1477 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 3339 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 3795 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 3550 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 1946 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Moree NSW – 3137 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Mt Madden WA – 1602 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Mullaley NSW – 3526 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Munglinup WA – 14,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Mungundi QLD – 3053 hectares.,QLD,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Nabawa WA – 4518 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Nabawa WA – 2942 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
North Star NSW – 7198 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Northampton WA – 6006 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Ongerup WA – 5502 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Quairading WA – 1683 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Quairading WA – 4485 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Three Springs WA – 3378 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Three Springs WA – 3040 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Varley WA – 9612 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Wagin WA – 4909 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Walbundrie NSW – 1953 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Warren NSW – 3261 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Warren NSW – 3966 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Warren NSW – 3705 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Watheroo WA – 3642 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Watheroo WA – 13,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Wee Waa NSW – 4945 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Wee Waa NSW – 2884 hectares.,NSW,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
West Coorow WA – 5528 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Wongan Hills WA – 2748 hectares.,WA,TIAA-CREF,Na,TIAA-CREF,Confirmed by Nuveen media 17/08,,,,,,,,
Juanbung and Boyong Stations,NSW,TIVERTON AGRICULTURE,Na,,https://www.theguardian.com/australia-news/2019/jan/23/private-conservation-group-55m-protect-murray-darling-great-cumbung-swamp,Sounds like Nature Conservancy Australia and Tiverton Agriculture JV?,,,,,,,
Todmorden Station,SA,TODMORDEN CATTLE COMPANY,Na,Todmorden Cattle Company,https://www.todmorden.com.au/aboutus.htm,,,,,,,,
Boongara,TAS,TRT PASTORAL GROUP,Na,TRT Pastoral Group,http://www.trtpastoralgroup.com.au/properties/,King Island Aggregation,,,,,,,
Howquadale Station,VIC,TRT PASTORAL GROUP,Na,TRT Pastoral Group,http://www.trtpastoralgroup.com.au/properties/,AKA North East Victorian Aggregation,,,,,,,
Bobbara Station,NSW,UNION AGRICULTURE,Na,,https://www.agtrader.com.au/news/livestock-sheep/meat-plus-wether-lambs-sell-to-$168-at-galong,,,,,,,,
Glenrowan aggregation,NSW,UNION AGRICULTURE,Na,,https://www.afr.com/property/chinas-union-agriculture-increases-farmland-takes-minnamurra-for-about-38m-20170428-gvurf3,,,,,,,,
Kyabra Station,NSW,UNION AGRICULTURE,Na,,https://www.afr.com/property/chinese-group-beefs-up-with-11m-purchase-of-kyabra-station-20160115-gm6pw1,,,,,,,,
Leandah/Wyangan aggregation,NSW,UNION AGRICULTURE,Na,,https://www.afr.com/property/chinas-union-agriculture-increases-farmland-takes-minnamurra-for-about-38m-20170428-gvurf3,,,,,,,,
Kyee Station,QLD,USHER PASTORAL COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/4556262/mount-margaret-kihee-sold/,,,,,,,,
Mount Margaret and Berellem,QLD,USHER PASTORAL COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/4556262/mount-margaret-kihee-sold/,,,,,,,,
Orient and Norley,QLD,USHER PASTORAL COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/4556262/mount-margaret-kihee-sold/,,,,,,,,
Bald Hills Station,QLD,VELLA FAMILY,Na,,https://www.beefcentral.com/property/weekly-property-review-recently-completed-sales-5/,,,,,,,,
Faust Family Farms,QLD,VELLA FAMILY,Na,,https://www.beefcentral.com/property/weekly-property-review-recently-completed-sales-5/,,,,,,,,
Bangalay,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Bonney View,SA,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Canunda Park,SA,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Coradjil Place,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Glenfarm,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Maritana,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Orford Wells,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Patricks Day,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Peneplain,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Poorinda,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Warwillah,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Wellbourne,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://auroradairies.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Baingarra,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Boolavilla,NSW,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Bullarto Downs,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Cowabbie-Mukoora,NSW,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Lobethal,WA,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Mawarra,WA,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Myola,QLD,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Orange Park,NSW,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Willaroo,QLD,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Wyobie,QLD,AURORA DAIRIES,Na,Warakirri Asset Management,https://www.warakirricropping.com.au/properties/boolavilla/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Bodallin Farms,WA,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Caringbah Farms,NSW,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Catumnal Farms,VIC,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Erregulla Plains,WA,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Kinbeachie Farms,QLD,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Orana Farms,NSW,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Waddikee Farms,WA,AURORA DAIRIES,Na,Warakirri Asset Management,http://daybreakcropping.com.au/properties/,https://warakirri.com.au/superannuation/australian-agriculture/,,,,,,,
Waverley Station,NSW,WAVERLEY STATION,Na,Waverley Station,https://www.waverleystation.com/properties,,,,,,,,
King Island,TAS,WAVERLEY STATION,Na,Waverley Station,https://www.waverleystation.com/properties,,,,,,,,
Gunnedah,NSW,WAVERLEY STATION,Na,Waverley Station,https://www.waverleystation.com/properties,,,,,,,,
Bluevale,QLD,WENTWORTH CATTLE COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/5612124/hughes-buy-bluevale-for-56m/,,,,,,,,
Strathalbyn,QLD,WENTWORTH CATTLE COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/4760117/hughes-finds-double-wagyu-benefit/,,,,,,,,
Wentworth Station,QLD,WENTWORTH CATTLE COMPANY,Na,,McMillan Pastoral Company?,https://www.abc.net.au/news/rural/2020-05-01/queensland-mcmillan-family-buys-wollogorang-and-wentworth-$53m/12102478,,,,,,,
Allendale Station,QLD,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Eurella Station,QLD,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Magowra Station,QLD,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Morstone Downs,QLD,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Oban Station,QLD,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Wave Hill Station,NT,WESTERN GRAZING COMPANY-GAMBAMORA INDUSTRIES PTY LTD,westerngrazing.com.au,Western Grazing,https://www.westerngrazing.com.au/properties/,,,,,,,,
Newmarket Station,NSW,WESTERN ROSELLA FARMING,Na,,Part of it sold? Harvard Uni,https://www.weeklytimesnow.com.au/property/harvard-university-puts-newmarket-station-property-on-market/news-story/3ef606bcced9d4329965aae291e0d93e,,,,,,,
Kumarina Station,WA,WHARTON CAPITAL,Na,,https://www.farmweekly.com.au/story/6565797/wharton-capital-an-active-pastoral-buyer/,,,,,,,,
Marymia Station,WA,WHARTON CAPITAL,Na,,https://www.farmweekly.com.au/story/6565797/wharton-capital-an-active-pastoral-buyer/,,,,,,,,
Anna Creek Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Arckaringa Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Connibar/Carieton,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Hamilton Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Mt Barry Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Mt Sarah Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Nilpanna Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
The Peake Station,SA,WILLIAMS CATTLE COMPANY,williamscattlecompany.com.au,Williams Cattle Company,https://www.williamscattlecompany.com.au/,,,,,,,,
Bulka,WA,HUI WING MAU,Na,,https://www.abc.net.au/news/rural/2017-11-01/yougawalla-pastoral-company-sells-to-hong-kong-billionaire/9105404,,,,,,,,
